date,Blackrock ETHA 0.25%,Fidelity FETH 0.25%,Bitwise ETHW 0.20%,21 Shares TETH 0.21%,VanEck ETHV 0.20%,Invesco QETH 0.25%,Franklin EZET 0.19%,Grayscale ETHE 2.50%,Grayscale ETH 0.15%,Total Unnamed: 10_level_1 Unnamed: 10_level_2,Total
2024-08-13,49.1,5.4,0.0,0.0,0.0,0.8,0.0,-31.0,0.0,24.3,48.599999999999994
2024-08-14,16.1,6.6,2.7,0.0,0.0,0.0,0.0,-16.9,2.3,10.8,21.600000000000005
2024-08-15,0.8,2.5,0.0,0.0,0.0,0.0,0.0,-42.5,0.0,-39.2,-78.4
2024-08-16,10.3,7.2,0.0,0.0,-4.8,0.0,0.0,-27.7,0.0,-15.0,-30.0
2024-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-19,0.0,0.0,1.9,0.0,0.0,0.0,0.0,-20.3,4.9,-13.5,-27.0
2024-08-20,26.8,0.0,3.7,0.0,0.0,0.0,0.0,-37.0,0.0,-6.5,-13.0
2024-08-21,0.0,7.9,0.0,0.0,0.0,0.0,1.0,-31.1,4.2,-18.0,-36.0
2024-08-22,0.0,14.3,0.0,0.0,1.0,0.0,0.0,-19.8,3.7,-0.8,-1.5999999999999999
2024-08-23,0.0,0.7,1.4,0.0,2.0,0.0,0.0,-9.8,0.0,-5.7,-11.400000000000002
2024-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-26,0.0,-2.7,0.0,0.0,0.0,0.0,-1.0,-9.5,0.0,-13.2,-26.4
2024-08-27,0.0,3.9,1.9,0.0,0.0,0.0,0.0,-9.2,0.0,-3.4,-6.799999999999999
2024-08-28,8.4,1.3,0.0,0.0,0.0,0.0,0.0,-3.8,0.0,5.9,11.8
2024-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.3,3.6,-1.7,-3.3999999999999995
2024-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,0.0,4.9,0.0,0.0,0.0,0.0,0.0,-52.3,0.0,-47.4,-94.8
2024-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.6,3.1,-37.5,-75.0
2024-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.4,7.2,-0.2,-0.4000000000000002
2024-09-06,4.7,0.0,0.0,0.0,0.0,0.0,0.0,-10.7,0.0,-6.0,-12.0
2024-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-09,0.0,7.6,1.8,0.0,0.0,0.0,0.0,-22.6,8.0,-5.2,-10.400000000000002
2024-09-10,4.3,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,22.799999999999997
2024-09-11,0.0,1.2,0.0,0.0,-1.7,0.0,0.0,0.0,0.0,-0.5,-1.0
2024-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.1,0.0,-20.1,-40.2
2024-09-13,3.7,0.0,5.2,0.0,0.0,0.0,0.0,-7.4,0.0,1.5,3.0
2024-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16,4.2,0.0,-2.1,0.0,0.0,0.0,0.0,-13.8,2.3,-9.4,-18.800000000000004
2024-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.9,2.8,-15.1,-30.199999999999996
2024-09-18,4.9,0.0,0.0,0.0,0.0,0.0,0.0,-14.7,0.0,-9.8,-19.6
2024-09-19,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,10.4
2024-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.9,5.8
2024-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23,0.0,0.0,1.3,0.0,0.0,0.0,0.0,-80.6,0.0,-79.3,-158.6
2024-09-24,59.3,0.0,0.0,0.0,1.9,1.3,0.0,0.0,0.0,62.5,125.0
2024-09-25,9.4,6.4,0.0,0.8,0.0,0.0,0.0,0.0,26.6,43.2,86.4
2024-09-26,15.3,15.9,1.0,0.7,1.0,2.0,0.0,-36.0,0.0,-0.1,-0.19999999999999432
2024-09-27,11.5,42.5,5.4,1.4,2.0,4.3,0.0,-10.7,2.3,58.7,117.39999999999999
2024-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.8,0.0,-0.8,-1.6000000000000008
2024-10-01,0.0,-25.0,-0.9,1.2,2.7,0.0,0.0,-26.6,0.0,-48.6,-97.2
2024-10-02,18.0,0.0,0.0,0.0,0.0,0.0,1.8,-5.4,0.0,14.4,28.8
2024-10-03,12.1,-0.6,0.0,0.0,0.0,0.0,0.0,-14.7,0.0,-3.2,-6.3999999999999995
2024-10-04,14.7,0.0,0.9,0.0,0.0,0.0,0.0,-8.2,0.0,7.4,14.8
2024-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-08,0.0,-3.6,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,-8.1,-16.2
2024-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-10,17.8,-3.5,-4.2,0.0,0.0,0.0,0.0,-10.3,3.3,3.1,6.200000000000001
2024-10-11,0.0,8.6,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,-0.1,-0.19999999999999965
2024-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-14,14.3,1.3,0.0,0.4,0.0,1.0,0.0,0.0,0.0,17.0,34.0
2024-10-15,0.0,2.6,0.0,0.0,0.0,0.0,0.0,-15.3,0.0,-12.7,-25.4
2024-10-16,11.9,8.5,0.0,0.0,3.8,0.0,0.0,0.0,0.0,24.2,48.4
2024-10-17,23.6,31.1,1.5,2.3,0.0,0.5,0.0,-15.7,5.1,48.4,96.8
2024-10-18,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.8
2024-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21,4.9,0.0,0.0,0.0,3.9,0.0,0.0,-29.6,0.0,-20.8,-41.6
2024-10-22,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,23.8
2024-10-23,0.0,6.2,0.0,1.6,0.0,1.0,0.0,-7.6,0.0,1.2,2.4000000000000012
2024-10-24,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.6
2024-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,0.0,-19.2,-38.4
